#,Filename,Series,LessonNum,MsgID,GregDate,HijriDate,Duration,TitleHint,Notes
47,AUD-20220119-WA0003.m4a,التعليق على شرح كتاب التوحيد (النجمي),9,1963,20/01/2022,1443/06/15,,جديد الدروس,
48,AUD-20210619-WA0002.m4a,التعليق على شرح كتاب التوحيد (النجمي),30,1596,20/06/2021,1442/11/05,,جديد الدروس,
49,AUD-20210323-WA0004.m4a,التعليق على شرح كتاب التوحيد (النجمي),24,1455,24/03/2021,,,جديد الدروس,
50,AUD-20210624-WA0002.m4a,التعليق على شرح كتاب التوحيد (النجمي),31,1621,24/06/2021,1442/11/12,,جديد الدروس,
51,AUD-20211124-WA0005.m4a,التعليق على شرح كتاب التوحيد (النجمي),3,1866,24/11/2021,1443/04/18,,جديد الدروس,
52,AUD-20210526-WA0001.m4a,التعليق على شرح كتاب التوحيد (النجمي),28,1556,26/05/2021,1442/10/13,,جديد الدروس,
53,AUD-20220126-WA0000.m4a,التعليق على شرح كتاب التوحيد (النجمي),,1975,27/01/2022,1443/06/22,,جديد الدروس,
54,AUD-20211027-WA0022.m4a,التعليق على شرح كتاب التوحيد (النجمي),,1808,27/10/2021,1443/03/19,,جديد الدروس,
55,AUD-20211229-WA0000.m4a,التعليق على شرح كتاب التوحيد (النجمي),6,1928,29/12/2021,1443/05/24,,جديد الدروس,
56,AUD-20210609-WA0004.m4a,التعليق على متن الأصول الثلاثة,2,1584,09/06/2021,1442/10/26,,جديد الدروس,
57,AUD-20210620-WA0000.m4a,التعليق على متن الأصول الثلاثة,3,1598,20/06/2021,1442/11/04,,جديد الدروس,
58,AUD-20210621-WA0003.m4a,التعليق على متن الأصول الثلاثة,4,1606,22/06/2021,1442/11/11,,جديد الدروس,آخر درس في السلسلة
59,AUD-20210525-WA0001.m4a,التعليق على متن الأصول الثلاثة,1,1553,25/05/2021,1442/10/12,,جديد الدروس,
60,AUD-20210705-WA0003.m4a,التعليق على متن الأصول الستة,,1658,05/07/2021,1442/11/18,,جديد الدروس,
61,AUD-20210706-WA0000.m4a,التعليق على متن القواعد الأربع,,1660,06/07/2021,1442/11/25,,جديد الدروس,
62,AUD-20210911-WA0041.m4a,التعليق على نواقض الإسلام,,1734,12/09/2021,,,جديد التعليقات,
63,AUD-20220302-WA0000.m4a,التعليقات الأثرية على العقيدة الواسطية (النجمي),2,2050,02/03/2022,1443/07/28,,جديد الدروس,
64,AUD-20220601-WA0002.m4a,التعليقات الأثرية على العقيدة الواسطية (النجمي),9,2226,02/06/2022,,,جديد الدروس,
65,AUD-20220330-WA0000.m4a,التعليقات الأثرية على العقيدة الواسطية (النجمي),5,2110,04/04/2022,1443/08/26,,جديد الدروس,
66,AUD-20220906-WA0004.m4a,التعليقات الأثرية على العقيدة الواسطية (النجمي),10,2373,06/09/2022,,,جديد الدروس,
67,AUD-20220906-WA0006.m4a,التعليقات الأثرية على العقيدة الواسطية (النجمي),11,2375,06/09/2022,1444/02/10,,جديد الدروس,
68,AUD-20221109-WA0016.m4a,التعليقات الأثرية على العقيدة الواسطية (النجمي),18,2569,10/11/2022,1444/04/07,,جديد الدروس,
69,AUD-20220511-WA0003.m4a,التعليقات الأثرية على العقيدة الواسطية (النجمي),6,2184,11/05/2022,1443/10/09,,جديد الدروس,
70,الشيخ حسن.m4a,التعليقات الأثرية على العقيدة الواسطية (النجمي),15,2442,12/10/2022,1444/03/15,,جديد الدروس,
71,AUD-20220913-WA0008 (1).m4a,التعليقات الأثرية على العقيدة الواسطية (النجمي),12,2394,14/09/2022,1444/02/17,,جديد الدروس,ملف مكرر - تحقق
72,AUD-20220215-WA0007.m4a,التعليقات الأثرية على العقيدة الواسطية (النجمي),1,2019,16/02/2022,1443/07/15,,جديد الدروس,
73,AUD-20220315-WA0014.m4a,التعليقات الأثرية على العقيدة الواسطية (النجمي),3,2079,16/03/2022,1443/08/12,,جديد الدروس,
74,AUD-20221116-WA0000.m4a,التعليقات الأثرية على العقيدة الواسطية (النجمي),19,2601,16/11/2022,1444/04/21,,جديد الدروس,آخر درس في السلسلة
75,AUD-20220518-WA0003.m4a,التعليقات الأثرية على العقيدة الواسطية (النجمي),7,2198,18/05/2022,1443/10/16,,جديد الدروس,
76,AUD-20221018-WA0021.m4a,التعليقات الأثرية على العقيدة الواسطية (النجمي),16,2472,18/10/2022,1444/03/22,,جديد الدروس,
77,AUD-20220920-WA0007.m4a,التعليقات الأثرية على العقيدة الواسطية (النجمي),13,2404,21/09/2022,1444/02/24,,جديد الدروس,
78,AUD-20220322-WA0026.m4a,التعليقات الأثرية على العقيدة الواسطية (النجمي),4,2092,23/03/2022,1443/08/19,,جديد الدروس,
79,AUD-20220525-WA0000.m4a,التعليقات الأثرية على العقيدة الواسطية (النجمي),8,2217,25/05/2022,1443/10/23,,جديد الدروس,
80,AUD-20221025-WA0011.m4a,التعليقات الأثرية على العقيدة الواسطية (النجمي),17,2507,25/10/2022,1444/03/29,,جديد الدروس,
81,AUD-20220927-WA0001.m4a,التعليقات الأثرية على العقيدة الواسطية (النجمي),14,2412,27/09/2022,1444/03/01,,جديد الدروس,
82,AUD-20220201-WA0001.m4a,التعليقات المختصرة على أبواب كتاب التوحيد,14,1983,01/02/2022,1443/06/28,25:20,التعليقات المختصرة,
83,AUD-20211101-WA0020.m4a,التعليقات المختصرة على أبواب كتاب التوحيد,7,1821,02/11/2021,1443/03/26,14:55,التعليقات المختصرة,
84,AUD-20211110-WA0028.m4a,التعليقات المختصرة على أبواب كتاب التوحيد,8,1835,10/11/2021,1443/04/04,31:52,التعليقات المختصرة,
85,AUD-20211213-WA0009.m4a,التعليقات المختصرة على أبواب كتاب التوحيد,11,1905,14/12/2021,1443/05/09,30:12,التعليقات المختصرة,
86,AUD-20211115-WA0016.m4a,التعليقات المختصرة على أبواب كتاب التوحيد,9,1847,15/11/2021,1443/04/09,18:54,التعليقات المختصرة,
87,AUD-20220118-WA0006.m4a,التعليقات المختصرة على أبواب كتاب التوحيد,12,1961,18/01/2022,1443/06/14,17:57,التعليقات المختصرة,
88,AUD-20211122-WA0009.m4a,التعليقات المختصرة على أبواب كتاب التوحيد,10,1860,22/11/2021,1443/04/17,25:43,التعليقات المختصرة,
89,AUD-20211024-WA0017.m4a,التعليقات المختصرة على أبواب كتاب التوحيد,5,1799,24/10/2021,1443/03/11,30:31,التعليقات المختصرة,
90,AUD-20211025-WA0005.m4a,التعليقات المختصرة على أبواب كتاب التوحيد,6,1803,26/10/2021,1443/03/18,30:28,التعليقات المختصرة,
91,AUD-20220125-WA0000.m4a,التعليقات المختصرة على أبواب كتاب التوحيد,13,1973,27/01/2022,1443/06/21,30:38,التعليقات المختصرة,
92,AUDIO-2026-02-08-07-36-29.m4a,التفسير الميسر (جامع الورود),18,6379,08/02/2026,,7:00,,
93,AUDIO-2026-04-14-14-06-42.m4a,التفسير الميسر (جامع الورود),17,6809,16/04/2026,,10:35,,
94,AUDIO-2026-04-14-14-13-51.m4a,التفسير الميسر (جامع الورود),16,6808,16/04/2026,,7:33,,
95,الرد الشرعي المعقول.m4a,الرد الشرعي المعقول على المتصل المجهول,2,4095,01/02/2024,,40:09,الرد الشرعي المعقول على المتصل المجهول,
96,AUD-20240904-WA0009.m4a,الرد الشرعي المعقول على المتصل المجهول,10,4619,05/09/2024,,46:48,الرد الشرعي المعقول على المتصل المجهول,
97,AUD-20240501-WA0000.m4a,الرد الشرعي المعقول على المتصل المجهول,5,4368,06/05/2024,,36:58,الرد الشرعي المعقول على المتصل المجهول,
98,AUD-20240206-WA0014.m4a,الرد الشرعي المعقول على المتصل المجهول,3,4125,07/02/2024,,42:26,الرد الشرعي المعقول على المتصل المجهول,
99,AUD-20240508-WA0004.m4a,الرد الشرعي المعقول على المتصل المجهول,6,4382,08/05/2024,,51:18,الرد الشرعي المعقول على المتصل المجهول,
100,AUD-20240912-WA0000.m4a,الرد الشرعي المعقول على المتصل المجهول,11,4649,12/09/2024,,32:22,الرد الشرعي المعقول على المتصل المجهول,
101,AUD-20240514-WA0001.m4a,الرد الشرعي المعقول على المتصل المجهول,7,4397,15/05/2024,,32:30,الرد الشرعي المعقول على المتصل المجهول,
102,AUD-20240918-WA0001.m4a,الرد الشرعي المعقول على المتصل المجهول,12,4665,19/09/2024,,25:36,الرد الشرعي المعقول على المتصل المجهول,آخر درس في السلسلة
103,AUD-20240221-WA0000.m4a,الرد الشرعي المعقول على المتصل المجهول,4,4182,22/02/2024,,27:16,الرد الشرعي المعقول على المتصل المجهول,
104,AUD-20240822-WA0001.m4a,الرد الشرعي المعقول على المتصل المجهول,8,4584,22/08/2024,,26:29,الرد الشرعي المعقول على المتصل المجهول,
105,AUD-20240125-WA0001.m4a,الرد الشرعي المعقول على المتصل المجهول,1,4045,25/01/2024,,28:25,الرد الشرعي المعقول على المتصل المجهول,
106,AUD-20240829-WA0001.m4a,الرد الشرعي المعقول على المتصل المجهول,9,4604,29/08/2024,,24:07,الرد الشرعي المعقول على المتصل المجهول,
107,AUD-20230131-WA0007.m4a,الفضل المبين في التعليق على أصل السنة (النجمي),2,2943,01/02/2023,,34:10,الفضل المبين,
108,AUD-20230228-WA0048.m4a,الفضل المبين في التعليق على أصل السنة (النجمي),6,3051,01/03/2023,,32:11,الفضل المبين,
109,AUD-20230207-WA0012.m4a,الفضل المبين في التعليق على أصل السنة (النجمي),3,2966,08/02/2023,,27:07,الفضل المبين,
110,AUD-20230314-WA0017.m4a,الفضل المبين في التعليق على أصل السنة (النجمي),7,3094,14/03/2023,,26:57,الفضل المبين,
111,AUD-20230214-WA0018.m4a,الفضل المبين في التعليق على أصل السنة (النجمي),4,2994,15/02/2023,,32:39,الفضل المبين,
112,AUD-20230221-WA0003.m4a,الفضل المبين في التعليق على أصل السنة (النجمي),5,3018,22/02/2023,,19:27,الفضل المبين,
113,AUD-20230322-WA0003.m4a,الفضل المبين في التعليق على أصل السنة (النجمي),8,3119,22/03/2023,,18:06,الفضل المبين,آخر درس في السلسلة
114,AUD-20230124-WA0016.m4a,الفضل المبين في التعليق على أصل السنة (النجمي),1,2907,25/01/2023,,31:09,الفضل المبين,
115,AUD-20240924-WA0000.m4a,القول السديد شرح كتاب التوحيد (السعدي),1,4678,24/09/2024,,,جديد الدروس,
116,AUDIO-2026-04-01-17-00-50.m4a,الملخص الفقهي (جامع الورود - الفوزان),7,6595,02/04/2026,1447/10/13,10:35,,
117,AUD-20250702-WA0001.m4a,الملخص الفقهي (جامع الورود - الفوزان),,5523,02/07/2025,,47:57,الملخص الفقهي,
118,AUDIO-2026-02-04-21-23-40.m4a,الملخص الفقهي (جامع الورود - الفوزان),4,6376,06/02/2026,,18:01,,
119,AUDIO-2026-04-06-19-19-46.m4a,الملخص الفقهي (جامع الورود - الفوزان),8,6685,08/04/2026,1447/10/18,6:43,,
120,AUDIO-2026-05-04-19-31-46.m4a,الملخص الفقهي (جامع الورود - الفوزان),5,7133,08/05/2026,1447/11/17,8:12,,
121,AUDIO-2026-05-06-19-17-06 (1).m4a,الملخص الفقهي (جامع الورود - الفوزان),6,7138,08/05/2026,1447/11/19,12:46,,ملف مكرر - تحقق
122,AUDIO-2026-04-08-18-26-52.m4a,الملخص الفقهي (جامع الورود - الفوزان),9,6705,09/04/2026,1447/10/20,6:20,,
123,AUDIO-2026-02-09-17-38-56.m4a,الملخص الفقهي (جامع الورود - الفوزان),5,6404,10/02/2026,,15:09,,
124,AUDIO-2026-04-13-17-36-14.m4a,الملخص الفقهي (جامع الورود - الفوزان),,6806,16/04/2026,,10:11,,
125,AUDIO-2026-04-15-20-46-56.m4a,الملخص الفقهي (جامع الورود - الفوزان),,6811,16/04/2026,,8:01,,
126,AUDIO-2026-05-18-20-33-02.m4a,الملخص الفقهي (جامع الورود - الفوزان),8,7429,21/05/2026,1447/12/01,8:12,,
127,AUDIO-2026-04-22-18-26-40.m4a,الملخص الفقهي (جامع الورود - الفوزان),3,6883,24/04/2026,1447/11/05,11:42,,
128,AUDIO-2026-04-22-18-34-52.m4a,الملخص الفقهي (جامع الورود - الفوزان),2,6884,24/04/2026,1447/11/03,11:07,,
129,AUDIO-2025-12-24-17-02-41.m4a,الملخص الفقهي (جامع الورود - الفوزان),26,6082,24/12/2025,,19:29,,
130,AUDIO-2026-04-27-19-08-14.m4a,الملخص الفقهي (جامع الورود - الفوزان),3,6949,29/04/2026,1447/11/10,14:27,,
131,Fiqh44.m4a,الملخص الفقهي (جامع الورود - الفوزان),4,6979,30/04/2026,1447/11/12,7:37,,
132,AUDIO-2026-03-30-21-01-25.m4a,الملخص الفقهي (جامع الورود - الفوزان),6,6579,31/03/2026,,10:23,,
133,AUD-20250102-WA0000.m4a,الملخص في شرح كتاب التوحيد (الفوزان),6,5047,02/01/2025,,5:31,الملخص في شرح,
134,AUD-20250501-WA0001.m4a,الملخص في شرح كتاب التوحيد (الفوزان),15,5369,02/05/2025,,6:36,الملخص في شرح,
135,AUD-20250503-WA0011.m4a,الملخص في شرح كتاب التوحيد (الفوزان),16,5376,05/05/2025,,4:24,الملخص في شرح,
136,AUD-20250505-WA0001.m4a,الملخص في شرح كتاب التوحيد (الفوزان),17,5378,05/05/2025,,5:26,الملخص في شرح,
137,AUD-20250806-WA0000.m4a,الملخص في شرح كتاب التوحيد (الفوزان),30,5625,06/08/2025,,6:59,الملخص في شرح,
138,AUD-20250108-WA0030.m4a,الملخص في شرح كتاب التوحيد (الفوزان),7,5063,08/01/2025,,6:44,الملخص في شرح,
139,AUD-20250526-WA0009.m4a,الملخص في شرح كتاب التوحيد (الفوزان),19,5460,08/06/2025,,6:26,الملخص في شرح,
140,AUD-20250604-WA0003.m4a,الملخص في شرح كتاب التوحيد (الفوزان),20,5462,08/06/2025,,6:24,الملخص في شرح,
141,AUD-20250708-WA0001.m4a,الملخص في شرح كتاب التوحيد (الفوزان),27,5547,08/07/2025,,5:27,الملخص في شرح,
142,AUD-20250708-WA0003.m4a,الملخص في شرح كتاب التوحيد (الفوزان),26,5545,08/07/2025,,8:25,الملخص في شرح,
143,AUD-20250210-WA0001.m4a,الملخص في شرح كتاب التوحيد (الفوزان),11,5150,11/02/2025,,5:21,الملخص في شرح,
144,AUD-20241211-WA0003.m4a,الملخص في شرح كتاب التوحيد (الفوزان),1,4950,11/12/2024,,9:38,الملخص في شرح,
145,AUD-20250612-WA0000.m4a,الملخص في شرح كتاب التوحيد (الفوزان),21,5469,12/06/2025,,7:16,الملخص في شرح,
146,AUD-20250514-WA0002.m4a,الملخص في شرح كتاب التوحيد (الفوزان),18,5402,14/05/2025,,5:57,الملخص في شرح,
147,AUD-20250715-WA0005.m4a,الملخص في شرح كتاب التوحيد (الفوزان),28,5592,15/07/2025,,6:04,الملخص في شرح,
148,AUD-20241216-WA0007.m4a,الملخص في شرح كتاب التوحيد (الفوزان),2,4978,16/12/2024,,6:33,الملخص في شرح,
149,AUD-20250217-WA0027.m4a,الملخص في شرح كتاب التوحيد (الفوزان),12,5156,18/02/2025,,5:29,الملخص في شرح,
