#,Filename,Series,LessonNum,MsgID,GregDate,HijriDate,Duration,TitleHint,Notes
197,AUDIO-2026-03-15-22-34-45.m4a,دروس رمضان - وزارة الشؤون الإسلامية 1447هـ,26,6521,16/03/2026,,14:18,,
198,AUDIO-2026-03-16-17-30-59.m4a,دروس رمضان - وزارة الشؤون الإسلامية 1447هـ,27,6522,16/03/2026,,12:47,,
199,AUDIO-2026-03-17-16-50-53.m4a,دروس رمضان - وزارة الشؤون الإسلامية 1447هـ,28,6524,17/03/2026,,6:57,,
200,AUDIO-2026-02-18-06-10-05.m4a,دروس رمضان - وزارة الشؤون الإسلامية 1447هـ,1,6452,18/02/2026,,8:44,,
201,AUDIO-2026-02-18-17-29-16.m4a,دروس رمضان - وزارة الشؤون الإسلامية 1447هـ,2,6453,18/02/2026,,6:20,,
202,AUDIO-2026-02-19-16-46-55.m4a,دروس رمضان - وزارة الشؤون الإسلامية 1447هـ,3,6455,19/02/2026,,9:16,,
203,AUDIO-2026-03-19-15-33-38.m4a,دروس رمضان - وزارة الشؤون الإسلامية 1447هـ,29,6540,19/03/2026,,8:07,,
204,AUDIO-2026-03-19-20-17-08.m4a,دروس رمضان - وزارة الشؤون الإسلامية 1447هـ,30,6541,19/03/2026,,6:33,,
205,AUDIO-2026-02-20-19-13-30.m4a,دروس رمضان - وزارة الشؤون الإسلامية 1447هـ,4,6457,20/02/2026,,9:48,,
206,AUDIO-2026-02-21-23-01-03.m4a,دروس رمضان - وزارة الشؤون الإسلامية 1447هـ,5,6460,22/02/2026,,11:29,,
207,AUDIO-2026-02-23-16-47-33.m4a,دروس رمضان - وزارة الشؤون الإسلامية 1447هـ,6,6464,23/02/2026,,8:37,,
208,AUDIO-2026-02-24-16-39-47.m4a,دروس رمضان - وزارة الشؤون الإسلامية 1447هـ,7,6474,24/02/2026,,11:26,,
209,AUDIO-2026-02-25-16-43-26.m4a,دروس رمضان - وزارة الشؤون الإسلامية 1447هـ,8,6476,25/02/2026,,11:03,,
210,AUDIO-2026-02-26-17-36-14.m4a,دروس رمضان - وزارة الشؤون الإسلامية 1447هـ,9,6481,27/02/2026,,11:31,,
211,AUDIO-2026-02-27-19-07-19.m4a,دروس رمضان - وزارة الشؤون الإسلامية 1447هـ,10,6483,27/02/2026,,8:38,,
212,AUDIO-2026-02-28-16-47-11.m4a,دروس رمضان - وزارة الشؤون الإسلامية 1447هـ,11,6484,28/02/2026,,9:19,,
213,جمعية_الدعوة_والإرشاد_في_محافظة_صامطة_الدرس_الأول_شرح_أركان_الإيمان.m4a,دورة الصم وضعاف السمع,1,1564,29/05/2021,,,عن بعد,دورة الصم وضعاف السمع - درس عن بعد
214,AUD-20240102-WA0011.m4a,رد الجواب على من طلب مني عدم طبع الكتاب (النجمي),1,3951,03/01/2024,,31:17,رد الجواب على من طلب مني عدم طبع الكتاب,
215,AUD-20240118-WA0000.m4a,رد الجواب على من طلب مني عدم طبع الكتاب (النجمي),2,3997,18/01/2024,,42:01,رد الجواب على من طلب مني عدم طبع الكتاب,
216,AUD-20250210-WA0000.m4a,شرح رياض الصالحين (ابن باز),1,5152,11/02/2025,,15:59,شرح رياض الصالحين,
217,التعليق_على_إرشاد_الساري_38_والأخير.m4a,شرح كتاب السنة للبربهاري,38,1139,19/08/2020,,,جديد الدروس,آخر درس في السلسلة
218,AUDIO-2026-04-15-21-10-32.m4a,صفة الحج (النجمي),2,6814,16/04/2026,1447/10/27,55:57,,
219,AUDIO-2026-04-15-21-11-35.m4a,صفة الحج (النجمي),1,6813,16/04/2026,1447/10/27,1:00,,
