DB#,Book,Lesson#,MsgID,GregDate,HijriDate,AudioFilename,Duration
56,كتاب الصلاة,39,3872,11.12.2023,1445/05/27,الأفنان_الندية_شرح_منظومة_السبل_السوية_الدرس_رقم_٣٩_تابع_باب_التهجد.m4a,25:06
57,كتاب الصلاة,40,3876,17.12.2023,1445/06/04,الأفنان_الندية_باب_قيام_رمضان_الدرس_رقم_٤٠.m4a,14:53
58,كتاب الصلاة,41,3883,19.12.2023,1445/06/06,AUD-20231218-WA0002.m4a,19:57
59,كتاب الصلاة,42,3909,25.12.2023,1445/06/12,AUD-20231225-WA0005.m4a,21:49
60,كتاب الصلاة,43,3922,27.12.2023,1445/06/14,_⁨الأفنان_الندية_كتاب_الصلاة_الدرس_رقم_43⁩.m4a,48:29
61,كتاب الصلاة,44,3937,01.01.2024,1445/06/19,AUD-20240101-WA0001.m4a,24:49
62,كتاب الصلاة,45,3945,02.01.2024,1445/06/20,AUD-20240102-WA0001.m4a,33:55
63,كتاب الصلاة,46,3990,15.01.2024,1445/07/03,AUD-20240114-WA0015.m4a,16:27
64,كتاب الصلاة,47,4024,22.01.2024,1445/07/10,AUD-20240115-WA0009.m4a,27:01
65,كتاب الصلاة,48,4026,22.01.2024,1445/07/10,AUD-20240121-WA0007.m4a,25:23
66,كتاب الصلاة,49,4080,29.01.2024,1445/07/17,AUD-20240123-WA0000.m4a,27:58
67,كتاب الصلاة,50,4082,29.01.2024,1445/07/17,الأفنان الندية.m4a,39:15
68,كتاب الصلاة,51,4113,05.02.2024,1445/07/24,AUD-20240204-WA0003.m4a,40:14
69,كتاب الصلاة,52,4121,06.02.2024,1445/07/25,AUD-20240206-WA0001.m4a,37:18
70,كتاب الصلاة,53,4143,12.02.2024,1445/08/02,AUD-20240212-WA0001.m4a,20:27
71,كتاب الصلاة,54,4150,12.02.2024,1445/08/02,AUD-20240212-WA0006.m4a,23:13
72,كتاب الصلاة,55,4171,20.02.2024,1445/08/10,AUD-20240220-WA0001.m4a,24:09
73,كتاب الصلاة,56,4198,26.02.2024,1445/08/16,AUD-20240226-WA0001.m4a,24:59
74,كتاب الصلاة,57,4211,28.02.2024,1445/08/18,AUD-20240227-WA0001.m4a,26:22
75,كتاب الصلاة,58,4229,04.03.2024,1445/08/23,AUD-20240303-WA0006.m4a,20:52
76,كتاب الصلاة,59,4323,24.04.2024,1445/10/15,AUD-20240424-WA0003.m4a,48:20
77,كتاب الصلاة,60,4325,24.04.2024,1445/10/15,AUD-20240424-WA0002.m4a,42:54
78,كتاب الصلاة,61,4354,30.04.2024,1445/10/21,AUD-20240430-WA0000.m4a,44:40
79,كتاب الصلاة (الجنائز),62,4372,06.05.2024,1445/10/27,AUD-20240506-WA0004.m4a,30:59
80,كتاب الصلاة (الجنائز),63,4391,13.05.2024,1445/11/05,AUD-20240512-WA0003.m4a,17:25
81,كتاب الصلاة (الجنائز),64,4395,15.05.2024,1445/11/07,AUD-20240514-WA0000.m4a,15:03
82,كتاب الصلاة (الجنائز),65,4395,15.05.2024,1445/11/07,AUD-20240514-WA0000.m4a,15:03
83,كتاب الصلاة (الجنائز),66,4578,20.08.2024,1446/02/16,AUD-20240819-WA0003.m4a,37:45
84,كتاب الصلاة (الجنائز),67,4598,26.08.2024,1446/02/22,AUD-20240826-WA0004.m4a,37:45
85,كتاب الزكاة,1,4610,02.09.2024,1446/02/29,AUD-20240901-WA0000.m4a,31:12
86,كتاب الزكاة,2,4641,12.09.2024,1446/03/09,AUD-20240912-WA0001.m4a,13:04
